Timestamp,UserID,UserName,Action,Detail
2025-12-12 18:27:54.897,5866356690,busintarch (Harry),show populars,show_pop_7
2025-12-12 16:37:05.423,5866356690,busintarch (Harry),changed page of books,1
2025-12-12 16:37:01.543,5866356690,busintarch (Harry),searched for books popular,; count:1462
2025-12-12 16:36:46.798,5866356690,busintarch (Harry),show populars,show_pop_999
2025-12-11 21:41:57.303,5866356690,busintarch (Harry),searched for books by book info,; count:0
2025-12-11 21:41:55.049,5866356690,busintarch (Harry),show populars,show_pop_999
2025-12-11 21:11:58.391,5866356690,busintarch (Harry),searched for books popular,; count:1462
2025-12-11 21:11:48.164,5866356690,busintarch (Harry),show populars,show_pop_999
2025-12-11 20:54:54.727,5866356690,busintarch (Harry),changed page of books,73
2025-12-11 20:54:53.192,5866356690,busintarch (Harry),changed page of books,1
2025-12-11 20:54:48.762,5866356690,busintarch (Harry),searched for books popular,; count:1462
2025-12-11 20:54:37.912,5866356690,busintarch (Harry),show populars,show_pop_999
2025-12-11 20:54:03.204,5866356690,busintarch (Harry),searched for books popular,; count:1462
2025-12-11 20:53:48.381,5866356690,busintarch (Harry),show populars,show_pop_999
2025-12-11 20:47:28.362,5866356690,busintarch (Harry),searched for books by book info,; count:0
2025-12-11 20:47:26.181,5866356690,busintarch (Harry),show populars,show_pop_999
2025-12-11 20:46:38.818,5866356690,busintarch (Harry),searched for books by book info,лев толстой; count:512
2025-12-11 20:46:26.342,5866356690,busintarch (Harry),searched for books by book info,; count:0
2025-12-11 20:46:24.081,5866356690,busintarch (Harry),show populars,show_pop_0
2025-12-11 20:46:20.334,5866356690,busintarch (Harry),showed settings menu,
2025-12-11 20:46:17.650,5866356690,busintarch (Harry),set aux_search to b,
2025-12-11 20:46:15.852,5866356690,busintarch (Harry),showed search area setting,
2025-12-11 20:46:12.853,5866356690,busintarch (Harry),showed settings menu,
2025-12-11 20:46:10.649,5866356690,busintarch (Harry),set search_type to books,
2025-12-11 20:46:09.332,5866356690,busintarch (Harry),showed search type setting,
2025-12-11 20:46:05.012,5866356690,busintarch (Harry),showed settings menu,
2025-12-11 20:45:39.527,5866356690,busintarch (Harry),searched for books for author None,None; count:0
2025-12-11 20:45:35.030,5866356690,busintarch (Harry),searched for authors,лев толстой; count:200
2025-12-11 20:44:53.665,5866356690,busintarch (Harry),searched for books for author None,; count:0
2025-12-11 20:44:51.392,5866356690,busintarch (Harry),show populars,show_pop_0
2025-12-11 20:44:48.945,5866356690,busintarch (Harry),searched for books for author None,; count:0
2025-12-11 20:44:46.743,5866356690,busintarch (Harry),show populars,show_pop_7
2025-12-11 20:44:43.092,5866356690,busintarch (Harry),searched for books for author None,; count:0
2025-12-11 20:44:40.851,5866356690,busintarch (Harry),show populars,show_pop_30
2025-12-11 20:44:33.587,5866356690,busintarch (Harry),searched for books for author None,; count:0
2025-12-11 20:44:31.301,5866356690,busintarch (Harry),show populars,show_pop_999
2025-12-11 20:44:20.805,5866356690,busintarch (Harry),show genres of parent genre,"Наука, Образование"
2025-12-11 20:44:17.212,5866356690,busintarch (Harry),viewed parent genres,
2025-12-11 20:44:06.832,5866356690,busintarch (Harry),showed help,
2025-12-11 20:44:03.519,5866356690,busintarch (Harry),viewed about,
2025-12-11 20:43:58.421,5866356690,busintarch (Harry),viewed news,
2025-12-11 20:43:54.446,5866356690,busintarch (Harry),started bot,
2025-12-02 21:33:34.103,5866356690,busintarch (Harry),showed settings menu,
2025-12-02 21:33:21.213,5866356690,busintarch (Harry),showed max books setting for user,
2025-12-02 21:31:52.545,5866356690,busintarch (Harry),showed settings menu,
2025-12-02 21:27:06.484,5866356690,busintarch (Harry),showed settings menu,
2025-12-02 21:23:27.812,5866356690,busintarch (Harry),searched for books for author Колупаев Виктор Дмитриевич,жил умер +Красноярске; count:66
2025-12-02 21:23:07.459,5866356690,busintarch (Harry),searched for authors,жил умер +Красноярске; count:200
2025-12-02 21:22:53.228,5866356690,busintarch (Harry),searched for authors,жил умер Красноярске; count:200
2025-12-02 21:22:15.050,5866356690,busintarch (Harry),set aux_search to aa,
2025-12-02 21:22:10.743,5866356690,busintarch (Harry),showed search area setting,
2025-12-02 21:21:58.856,5866356690,busintarch (Harry),showed settings menu,
2025-12-02 21:21:35.023,5866356690,busintarch (Harry),searched for books for author Филпотс Иден ,великие путешествия; count:4
2025-12-02 21:21:23.873,5866356690,busintarch (Harry),changed page of authors,9
2025-12-02 21:21:06.700,5866356690,busintarch (Harry),searched for books for author Андерсон Пол ,великие путешествия; count:15
2025-12-02 21:20:55.632,5866356690,busintarch (Harry),searched for authors by book annotation,великие путешествия; count:200
2025-12-02 21:20:43.481,5866356690,busintarch (Harry),set search_type to authors,
2025-12-02 21:20:42.462,5866356690,busintarch (Harry),showed search type setting,
2025-12-02 21:20:32.742,5866356690,busintarch (Harry),showed settings menu,
2025-12-02 21:20:23.704,5866356690,busintarch (Harry),changed page of books,1
2025-12-02 21:20:08.094,5866356690,busintarch (Harry),searched for books in series Забытая палеонтологическая фантастика,путешествия; count:23
2025-12-02 21:19:52.667,5866356690,busintarch (Harry),searched for series by book annotation,путешествия; count:200
2025-12-02 21:19:41.502,5866356690,busintarch (Harry),set aux_search to ba,
2025-12-02 21:19:39.566,5866356690,busintarch (Harry),showed search area setting,
2025-12-02 21:19:34.180,5866356690,busintarch (Harry),showed settings menu,
2025-12-02 21:19:07.788,5866356690,busintarch (Harry),searched for books popular,; count:817
2025-12-02 21:18:59.492,5866356690,busintarch (Harry),show populars,show_pop_30
2025-12-02 21:18:34.521,5866356690,busintarch (Harry),changed page of books,1
2025-12-02 21:18:19.359,5866356690,busintarch (Harry),searched for books in series Неизвестный Жюль Верн в 29 томах,путешествия; count:60
2025-12-02 21:18:11.021,5866356690,busintarch (Harry),searched for series by book info,путешествия; count:200
2025-12-02 21:17:47.498,5866356690,busintarch (Harry),changed page of books,1
2025-12-02 21:17:32.728,5866356690,busintarch (Harry),searched for books popular,; count:380
2025-12-02 21:17:24.223,5866356690,busintarch (Harry),show populars,show_pop_7
2025-12-02 21:17:10.069,5866356690,busintarch (Harry),changed page of books,2
2025-12-02 21:17:03.423,5866356690,busintarch (Harry),changed page of books,1
2025-12-02 21:16:53.478,5866356690,busintarch (Harry),searched for books in series Зеленая серия,путешествия; count:50
2025-12-02 21:16:45.345,5866356690,busintarch (Harry),searched for series by book info,путешествия; count:200
2025-12-02 21:16:30.988,5866356690,busintarch (Harry),changed page of books,2
2025-12-02 21:16:25.700,5866356690,busintarch (Harry),changed page of books,1
2025-12-02 21:16:13.715,5866356690,busintarch (Harry),searched for books popular,; count:1181
2025-12-02 21:16:10.899,5866356690,busintarch (Harry),show populars,show_pop_0
2025-12-02 21:16:04.037,5866356690,busintarch (Harry),set search_type to series,
