Timestamp,UserID,UserName,Action,Detail
2025-12-06 14:08:13.686,1138647200,goodman037 (Ильдар),send file,783830.fb2:Dotc_Gayd-po-NLP-Samye-effektivnye-priemy-i-tryuki.N3lbGA.783830.fb2.zip
2025-12-06 14:03:40.216,1138647200,goodman037 (Ильдар),send file,802342.fb2:Skott_Temnaya-psihologiya-i-manipulyacii-Napaday-i-zashchishchaysya.qhQOHw.802342.fb2.zip
2025-12-06 14:02:05.481,1138647200,goodman037 (Ильдар),send file,802342.fb2:802342.fb2
2025-12-06 14:00:20.965,1138647200,goodman037 (Ильдар),send file,821009.fb2:Zygmantovich_Chernaya-psihologiya-Kak-nam-vnushayut-yadovitye-ustanovki-i-mozhno-li-ot-etogo-zashchititsya.H5eZLw.821009.fb2.zip
2025-12-06 13:58:49.519,1138647200,goodman037 (Ильдар),searched for books by book info,"""Психология влияния"" - Роберт Чалдини; count:18"
2025-12-06 13:58:49.422,540969037,None (Khas0777),searched for books by book info,Виктор Пелевин. А Синистра левый путь; count:282
2025-12-06 13:58:37.980,1138647200,goodman037 (Ильдар),started bot,
2025-12-06 13:55:55.481,540969037,None (Khas0777),started bot,
2025-12-06 13:54:46.184,7839362100,None (Айдар Сулейманов),send file,766183.fb2:Markov_Ta-samaya-hulinomika-Eshche-zaboristee-Izdataya-versiya.tuAIjg.766183.fb2.zip
2025-12-06 13:53:26.742,7839362100,None (Айдар Сулейманов),searched for books by book info,Хулиномика 6.2; count:6
2025-12-06 13:44:15.081,7839362100,None (Айдар Сулейманов),searched for books by book info,Роберт Гловер; count:42
2025-12-06 13:43:16.844,7839362100,None (Айдар Сулейманов),send file,368395.fb2:Glover_Hvatit-byt-slavnym-parnem-Proverennyy-sposob-dobitsya-zhelaemogo-v-lyubvi-sekse-i-zhizni._5uIUQ.368395.fb2.zip
2025-12-06 13:41:09.491,7839362100,None (Айдар Сулейманов),searched for books by book info,Хватит быть славным парнем; count:1373
2025-12-06 13:40:06.208,7839362100,None (Айдар Сулейманов),send file,796410.fb2:Glover_Hvatit-byt-skromnym-parnem-.796410.pdf
2025-12-06 13:38:08.271,7839362100,None (Айдар Сулейманов),searched for books by book info,Быть хорошим парнем; count:1315
2025-12-06 13:37:28.924,7839362100,None (Айдар Сулейманов),showed settings menu,
2025-12-06 13:37:06.118,7839362100,None (Айдар Сулейманов),started bot,
2025-12-06 13:34:58.242,59134904,Naragburk (Алексей [E16 Naragburk] Ekb),send file,668672.fb2:King_King-Stiven-Romany_44_Billi-Sammers.beE3WA.668672.fb2.zip
2025-12-06 13:33:53.578,59134904,Naragburk (Алексей [E16 Naragburk] Ekb),searched for books by book info,Билли саммерс; count:156
2025-12-06 13:33:16.936,59134904,Naragburk (Алексей [E16 Naragburk] Ekb),showed settings menu,
2025-12-06 13:33:12.209,59134904,Naragburk (Алексей [E16 Naragburk] Ekb),set lang_search to ru,
